dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-01-01,4975802,1020.1666666666666,53.375,3.375,-3.6257535099999654,1,21.51013409250449,318.0,174.0,144.0,55.0,45.0
2018-01-02,4975802,1021.9583333333334,53.458333333333336,3.0416666666666665,-1.6254976599999649,1,15.159443076460555,350.0,282.0,68.0,81.0,19.0
2018-01-03,4975802,1021.8333333333334,66.0,3.1666666666666665,8.669752340000032,1,18.493613024448937,393.0,283.0,110.0,72.0,28.0
2018-01-04,4975802,1005.6666666666666,82.08333333333333,5.291666666666667,14.626246490000042,8,16.21745663580506,394.0,338.0,56.0,86.0,14.0
2018-01-05,4975802,988.0416666666666,65.33333333333333,7.583333333333333,15.682998830000047,8,19.51730477338855,346.0,265.0,81.0,77.0,23.0
2018-01-06,4975802,1007.4583333333334,52.0,5.875,-0.8529999999999663,8,20.361093135040043,368.0,218.0,150.0,59.0,41.0
2018-01-07,4975802,1024.9166666666667,45.708333333333336,3.625,-0.1547476599999563,1,16.048293724168154,349.0,274.0,75.0,79.0,21.0
2018-01-08,4975802,1019.2916666666666,55.583333333333336,2.5416666666666665,15.472251170000042,2,19.900105043640696,363.0,302.0,61.0,83.0,17.0
2018-01-09,4975802,1013.0416666666666,72.54166666666667,3.4583333333333335,28.79225000000004,2,16.27747289990745,411.0,337.0,74.0,82.0,18.0
2018-01-10,4975802,1027.4166666666667,58.791666666666664,2.2083333333333335,24.639498830000036,1,20.97704201794141,307.0,259.0,48.0,84.0,16.0
2018-01-11,4975802,1025.625,76.25,2.6666666666666665,35.97425000000003,2,14.971474428662262,465.0,387.0,78.0,83.0,17.0
2018-01-12,4975802,1017.0,99.41666666666667,3.5416666666666665,46.295750000000034,[4 6],24.872565506267946,749.0,353.0,396.0,47.0,53.0
2018-01-13,4975802,1002.8333333333334,90.70833333333333,6.125,44.21825000000006,7,25.60566708622683,815.0,345.0,470.0,42.0,58.0
2018-01-14,4975802,1029.875,58.083333333333336,3.0,15.057502340000028,1,19.184890051306454,507.0,322.0,185.0,64.0,36.0
2018-01-15,4975802,1039.7083333333333,58.25,2.5833333333333335,8.846007020000037,1,21.5934756799072,520.0,411.0,109.0,79.0,21.0
2018-01-16,4975802,1032.9583333333333,73.33333333333333,2.25,18.988250000000036,8,17.242858512670548,448.0,369.0,79.0,82.0,18.0
2018-01-17,4975802,1026.75,91.25,1.625,25.486250000000023,8,11.78655083052859,378.0,341.0,37.0,90.0,10.0
2018-01-18,4975802,1013.9166666666666,81.29166666666667,2.5,23.20088633000003,1,14.414974901284625,423.0,351.0,72.0,83.0,17.0
2018-01-19,4975802,1012.625,79.91666666666667,1.375,19.520748830000034,2,33.64604799106603,425.0,264.0,161.0,62.0,38.0
2018-01-20,4975802,1006.125,66.45833333333333,3.0416666666666665,33.45950000000004,1,30.400673721989506,221.0,177.0,44.0,80.0,20.0
2018-01-21,4975802,1016.0833333333334,66.25,2.0416666666666665,38.86625000000004,1,13.31648578645705,412.0,340.0,72.0,83.0,17.0
2018-01-22,4975802,1024.7083333333333,82.75,3.25,29.71625000000005,2,13.202363232742487,269.0,249.0,20.0,93.0,7.0
2018-01-23,4975802,1015.25,95.5,4.041666666666667,25.309250000000038,7,22.136498798223403,324.0,289.0,35.0,89.0,11.0
2018-01-24,4975802,1003.7916666666666,77.58333333333333,4.541666666666667,32.327000000000034,1,11.411250813456697,320.0,290.0,30.0,91.0,9.0
2018-01-25,4975802,1019.625,53.583333333333336,5.375,17.284248830000035,1,19.762634891161817,350.0,301.0,49.0,86.0,14.0
2018-01-26,4975802,1032.8333333333333,43.0,3.25,16.80650000000004,1,15.38040520039601,395.0,248.0,147.0,63.0,37.0
2018-01-27,4975802,1029.7916666666667,64.625,3.1666666666666665,23.93675000000003,1,28.496605730740598,590.0,335.0,255.0,57.0,43.0
2018-01-28,4975802,1020.8333333333334,65.0,2.5416666666666665,44.31500000000003,1,13.843216904667512,367.0,293.0,74.0,80.0,20.0
2018-01-29,4975802,1025.3333333333333,60.5,2.9583333333333335,30.110750000000053,1,13.250069853213176,523.0,428.0,95.0,82.0,18.0
2018-01-30,4975802,1017.5416666666666,59.583333333333336,4.791666666666667,21.682962500000034,2,18.87051685020881,453.0,400.0,53.0,88.0,12.0
2018-01-31,4975802,1017.625,49.958333333333336,3.5416666666666665,20.18510000000003,1,15.464191330868738,483.0,397.0,86.0,82.0,18.0
2018-02-01,4975802,1013.9583333333334,71.04166666666667,3.0833333333333335,28.470500000000026,8,25.135904353928897,809.0,462.0,347.0,57.0,43.0
2018-02-02,4975802,1008.3333333333334,77.75,4.458333333333333,26.897748830000054,2,27.28637307483966,571.0,302.0,269.0,53.0,47.0
2018-02-03,4975802,1023.125,51.166666666666664,3.875,8.926250000000032,1,37.490926791476376,533.0,395.0,138.0,74.0,26.0
2018-02-04,4975802,1023.5416666666666,72.29166666666667,3.5833333333333335,23.824253510000034,[2 8],24.720213828355273,512.0,427.0,85.0,83.0,17.0
2018-02-05,4975802,1005.6666666666666,83.58333333333333,3.9166666666666665,36.55325000000004,7,15.922188641492292,690.0,538.0,152.0,78.0,22.0
2018-02-06,4975802,1024.5833333333333,56.583333333333336,2.4583333333333335,21.149750000000058,1,17.73616266903201,588.0,459.0,129.0,78.0,22.0
2018-02-07,4975802,1029.1666666666667,79.29166666666667,2.5833333333333335,17.909752340000043,1,28.228709742388194,644.0,453.0,191.0,70.0,30.0
2018-02-08,4975802,1018.4166666666666,66.29166666666667,4.791666666666667,22.02725000000004,1,25.16150100500632,781.0,298.0,483.0,38.0,62.0
2018-02-09,4975802,1029.9166666666667,65.41666666666667,2.0416666666666665,13.646745320000043,1,22.373696538434583,666.0,299.0,367.0,45.0,55.0
2018-02-10,4975802,1026.2083333333333,88.95833333333333,2.625,28.382000000000048,8,18.522322639592378,552.0,399.0,153.0,72.0,28.0
2018-02-11,4975802,1018.5,97.5,2.4583333333333335,35.28200000000003,7,22.583810974342654,556.0,440.0,116.0,79.0,21.0
2018-02-12,4975802,1017.6666666666666,80.45833333333333,3.9166666666666665,34.78325000000003,6,14.702678473831313,426.0,345.0,81.0,81.0,19.0
2018-02-13,4975802,1038.75,47.5,2.9166666666666665,23.411000000000048,1,23.240077297775574,550.0,407.0,143.0,74.0,26.0
2018-02-14,4975802,1026.8333333333333,71.75,2.6666666666666665,29.519750000000045,2,20.363769160782027,486.0,348.0,138.0,72.0,28.0
2018-02-15,4975802,1010.9583333333334,83.66666666666667,2.3333333333333335,33.83075000000004,1,19.506685782266143,404.0,218.0,186.0,54.0,46.0
2018-02-16,4975802,1001.125,91.75,2.5833333333333335,41.363000000000035,6,19.91780753968254,160.0,110.0,50.0,69.0,31.0
2018-02-17,4975802,1022.3333333333334,51.125,3.75,27.497000000000046,1,16.75763641426357,336.0,227.0,109.0,68.0,32.0
2018-02-18,4975802,1020.0416666666666,74.20833333333333,4.333333333333333,32.169500000000035,8,32.41223824786325,186.0,175.0,11.0,94.0,6.0
2018-02-19,4975802,1031.2916666666667,74.125,2.25,27.71000000000004,1,15.046515345357252,290.0,243.0,47.0,84.0,16.0
2018-02-20,4975802,1024.1666666666667,97.0,2.0416666666666665,40.910000000000046,6,17.147365471628795,407.0,336.0,71.0,83.0,17.0
2018-02-21,4975802,1021.6666666666666,87.66666666666667,2.2916666666666665,44.94350000000005,4,20.63429587442109,384.0,235.0,149.0,61.0,39.0
2018-02-22,4975802,1033.4166666666667,58.416666666666664,3.2083333333333335,41.09375000000003,2,13.662382762934234,211.0,170.0,41.0,81.0,19.0
2018-02-23,4975802,1036.9166666666667,78.16666666666667,2.1666666666666665,27.94250000000005,1,14.602564926295443,437.0,364.0,73.0,83.0,17.0
2018-02-24,4975802,1018.25,80.33333333333333,3.7916666666666665,38.70725000000005,[1 2],16.92125086035367,397.0,348.0,49.0,88.0,12.0
2018-02-25,4975802,1024.1666666666667,82.91666666666667,2.75,31.526000000000035,1,21.75551183182763,288.0,259.0,29.0,90.0,10.0
2018-02-26,4975802,1016.5,85.25,2.5,36.89225000000004,6,12.508294648486682,454.0,370.0,84.0,81.0,19.0
2018-02-27,4975802,1022.375,52.25,2.0416666666666665,37.62575000000003,1,17.789602379819772,493.0,341.0,152.0,69.0,31.0
2018-02-28,4975802,1016.0833333333334,54.625,2.8333333333333335,41.18975000000003,1,26.20448689177815,809.0,353.0,456.0,44.0,56.0
2018-03-01,4975802,1010.0,64.125,2.625,41.612000000000045,2,25.31212441393623,445.0,247.0,198.0,56.0,44.0
