Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
13.882352941176471,17,8,9,47.0,53.0
15.4,20,11,9,55.0,45.0
17.0,5,3,2,60.0,40.0
32.0,1,1,0,100.0,0.0
14.5,2,2,0,100.0,0.0
40.666666666666664,3,3,0,100.0,0.0
13.25,8,5,3,62.0,38.0
44.0,11,6,5,55.0,45.0
23.77777777777778,9,5,4,56.0,44.0
43.05,20,11,9,55.0,45.0
25.0,17,11,6,65.0,35.0
32.38235294117647,34,11,23,32.0,68.0
31.853658536585368,41,17,24,41.0,59.0
24.133333333333333,45,21,24,47.0,53.0
22.9,30,14,16,47.0,53.0
7.052631578947368,19,16,3,84.0,16.0
19.7,10,10,0,100.0,0.0
17.25,8,6,2,75.0,25.0
13.777777777777779,9,4,5,44.0,56.0
19.0,1,1,0,100.0,0.0
5.666666666666667,3,3,0,100.0,0.0
31.0,3,3,0,100.0,0.0
7.0,1,1,0,100.0,0.0
2.0,1,1,0,100.0,0.0
35.0,7,6,1,86.0,14.0
4.0,7,6,1,86.0,14.0
8.157894736842104,19,17,2,89.0,11.0
11.821428571428571,28,25,3,89.0,11.0
13.652173913043478,23,21,2,91.0,9.0
28.142857142857142,14,11,3,79.0,21.0
16.157894736842106,19,15,4,79.0,21.0
18.862068965517242,29,19,10,66.0,34.0
14.954545454545455,22,17,5,77.0,23.0
20.25,24,13,11,54.0,46.0
17.666666666666668,18,12,6,67.0,33.0
14.233333333333333,30,21,9,70.0,30.0
10.551724137931034,29,25,4,86.0,14.0
17.444444444444443,18,18,0,100.0,0.0
10.857142857142858,14,13,1,93.0,7.0
14.7,10,9,1,90.0,10.0
19.636363636363637,11,7,4,64.0,36.0
3.5714285714285716,7,7,0,100.0,0.0
21.5,2,2,0,100.0,0.0
15.166666666666666,6,5,1,83.0,17.0
27.0,5,5,0,100.0,0.0
3.0,1,1,0,100.0,0.0
9.0,3,3,0,100.0,0.0
8.5,4,4,0,100.0,0.0
6.875,8,7,1,88.0,12.0
11.31578947368421,19,18,1,95.0,5.0
11.743589743589743,39,35,4,90.0,10.0
14.68421052631579,19,15,4,79.0,21.0
26.058823529411764,17,9,8,53.0,47.0
20.92,25,18,7,72.0,28.0
34.65384615384615,26,13,13,50.0,50.0
33.578947368421055,19,11,8,58.0,42.0
23.34285714285714,35,21,14,60.0,40.0
32.75,28,18,10,64.0,36.0
12.837837837837839,37,27,10,73.0,27.0
13.81081081081081,37,30,7,81.0,19.0
19.541666666666668,24,18,6,75.0,25.0
12.0,12,8,4,67.0,33.0
24.5,8,4,4,50.0,50.0
20.0,13,6,7,46.0,54.0
21.2,5,5,0,100.0,0.0
16.333333333333332,6,5,1,83.0,17.0
7.2,5,4,1,80.0,20.0
15.0,5,5,0,100.0,0.0
43.5,2,2,0,100.0,0.0
10.0,1,1,0,100.0,0.0
4.0,1,1,0,100.0,0.0
8.0,2,2,0,100.0,0.0
23.0,8,7,1,88.0,12.0
10.823529411764707,17,16,1,94.0,6.0
8.543478260869565,46,41,5,89.0,11.0
10.384615384615385,26,23,3,88.0,12.0
20.153846153846153,13,12,1,92.0,8.0
19.863636363636363,22,17,5,77.0,23.0
12.789473684210526,19,15,4,79.0,21.0
25.96551724137931,29,20,9,69.0,31.0
27.11764705882353,34,21,13,62.0,38.0
36.588235294117645,17,14,3,82.0,18.0
13.238095238095237,21,17,4,81.0,19.0
10.461538461538462,26,26,0,100.0,0.0
11.193548387096774,31,30,1,97.0,3.0
12.0,10,10,0,100.0,0.0
11.6,10,8,2,80.0,20.0
6.75,4,4,0,100.0,0.0
6.5,4,4,0,100.0,0.0
21.25,4,4,0,100.0,0.0
6.666666666666667,3,2,1,67.0,33.0
59.5,2,2,0,100.0,0.0
2.0,1,1,0,100.0,0.0
6.333333333333333,9,7,2,78.0,22.0
13.352941176470589,17,16,1,94.0,6.0
13.142857142857142,21,21,0,100.0,0.0
7.8125,16,13,3,81.0,19.0
27.0,16,15,1,94.0,6.0
16.923076923076923,13,12,1,92.0,8.0
12.428571428571429,14,13,1,93.0,7.0
21.857142857142858,21,12,9,57.0,43.0
26.192307692307693,26,16,10,62.0,38.0
25.205128205128204,39,22,17,56.0,44.0
24.6,35,24,11,69.0,31.0
14.659574468085106,47,40,7,85.0,15.0
14.272727272727273,22,17,5,77.0,23.0
19.384615384615383,13,12,1,92.0,8.0
21.615384615384617,13,9,4,69.0,31.0
32.75,8,7,1,88.0,12.0
23.5,2,2,0,100.0,0.0
