Start Time,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-01-01 00:00:00,13.882352941176471,17,8,9,47.0,53.0
2018-01-01 01:00:00,15.4,20,11,9,55.0,45.0
2018-01-01 02:00:00,17.0,5,3,2,60.0,40.0
2018-01-01 03:00:00,32.0,1,1,0,100.0,0.0
2018-01-01 06:00:00,14.5,2,2,0,100.0,0.0
2018-01-01 07:00:00,40.666666666666664,3,3,0,100.0,0.0
2018-01-01 08:00:00,13.25,8,5,3,62.0,38.0
2018-01-01 09:00:00,44.0,11,6,5,55.0,45.0
2018-01-01 10:00:00,23.77777777777778,9,5,4,56.0,44.0
2018-01-01 11:00:00,43.05,20,11,9,55.0,45.0
2018-01-01 12:00:00,25.0,17,11,6,65.0,35.0
2018-01-01 13:00:00,32.38235294117647,34,11,23,32.0,68.0
2018-01-01 14:00:00,31.853658536585368,41,17,24,41.0,59.0
2018-01-01 15:00:00,24.133333333333333,45,21,24,47.0,53.0
2018-01-01 16:00:00,22.9,30,14,16,47.0,53.0
2018-01-01 17:00:00,7.052631578947368,19,16,3,84.0,16.0
2018-01-01 18:00:00,19.7,10,10,0,100.0,0.0
2018-01-01 19:00:00,17.25,8,6,2,75.0,25.0
2018-01-01 20:00:00,13.777777777777779,9,4,5,44.0,56.0
2018-01-01 21:00:00,19.0,1,1,0,100.0,0.0
2018-01-01 22:00:00,5.666666666666667,3,3,0,100.0,0.0
2018-01-02 00:00:00,31.0,3,3,0,100.0,0.0
2018-01-02 02:00:00,7.0,1,1,0,100.0,0.0
2018-01-02 03:00:00,2.0,1,1,0,100.0,0.0
2018-01-02 05:00:00,35.0,7,6,1,86.0,14.0
2018-01-02 06:00:00,4.0,7,6,1,86.0,14.0
2018-01-02 07:00:00,8.157894736842104,19,17,2,89.0,11.0
2018-01-02 08:00:00,11.821428571428571,28,25,3,89.0,11.0
2018-01-02 09:00:00,13.652173913043478,23,21,2,91.0,9.0
2018-01-02 10:00:00,28.142857142857142,14,11,3,79.0,21.0
2018-01-02 11:00:00,16.157894736842106,19,15,4,79.0,21.0
2018-01-02 12:00:00,18.862068965517242,29,19,10,66.0,34.0
