Unnamed: 0,dt,dt_iso,city_id,temp,temp_min,temp_max,pressure,humidity,wind_speed,weather_main,weather_icon,avg_temp_f,weather_type,date,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
0,1514764800,2018-01-01 00:00:00 ,4975802,255.62,253.15,257.15,1019,59,5,Clear,01n,0.4460000000000477,1,2018-01-01 ,13.882352941176471,17.0,8.0,9.0,47.0,53.0
1,1514768400,2018-01-01 01:00:00 ,4975802,254.26,250.15,256.15,1019,54,3,Clear,01n,-2.001999999999974,1,2018-01-01 ,15.4,20.0,11.0,9.0,55.0,45.0
2,1514772000,2018-01-01 02:00:00 ,4975802,255.14,254.15,256.15,1020,59,3,Clear,01n,-0.41799999999998505,1,2018-01-01 ,17.0,5.0,3.0,2.0,60.0,40.0
3,1514775600,2018-01-01 03:00:00 ,4975802,254.14,253.15,255.15,1020,58,1,Clear,01n,-2.2179999999999818,1,2018-01-01 ,32.0,1.0,1.0,0.0,100.0,0.0
4,1514779200,2018-01-01 04:00:00 ,4975802,253.73,252.15,255.15,1020,53,2,Clear,01n,-2.9559999999999818,1,2018-01-01 ,14.5,2.0,2.0,0.0,100.0,0.0
5,1514782800,2018-01-01 05:00:00 ,4975802,253.53,252.15,254.15,1020,53,2,Clear,01n,-3.31599999999996,1,2018-01-01 ,40.66666666666666,3.0,3.0,0.0,100.0,0.0
6,1514786400,2018-01-01 06:00:00 ,4975802,252.11,250.15,253.15,1020,58,2,Clear,01n,-5.871999999999937,1,2018-01-01 ,13.25,8.0,5.0,3.0,62.0,38.0
7,1514790000,2018-01-01 07:00:00 ,4975802,249.04,242.15,252.15,1020,58,1,Clear,01n,-11.397999999999973,1,2018-01-01 ,44.0,11.0,6.0,5.0,55.0,45.0
8,1514793600,2018-01-01 08:00:00 ,4975802,248.72,243.15,252.15,1020,58,2,Clear,01n,-11.973999999999961,1,2018-01-01 ,23.777777777777782,9.0,5.0,4.0,56.0,44.0
9,1514797200,2018-01-01 09:00:00 ,4975802,250.1,249.15,252.15,1020,58,3,Clear,01n,-9.489999999999975,1,2018-01-01 ,43.05,20.0,11.0,9.0,55.0,45.0
10,1514800800,2018-01-01 10:00:00 ,4975802,249.53,247.15,252.15,1020,69,3,Clear,01n,-10.515999999999957,1,2018-01-01 ,25.0,17.0,11.0,6.0,65.0,35.0
