,dt,dt_iso,city_id,temp,temp_min,temp_max,pressure,humidity,wind_speed,weather_main,weather_icon,avg_temp_f,weather_type,date
0,1514764800,2018-01-01 00:00:00 ,4975802,255.62,253.15,257.15,1019,59,5,Clear,01n,0.4460000000000477,1,2018-01-01 
1,1514768400,2018-01-01 01:00:00 ,4975802,254.26,250.15,256.15,1019,54,3,Clear,01n,-2.001999999999974,1,2018-01-01 
2,1514772000,2018-01-01 02:00:00 ,4975802,255.14,254.15,256.15,1020,59,3,Clear,01n,-0.41799999999998505,1,2018-01-01 
3,1514775600,2018-01-01 03:00:00 ,4975802,254.14,253.15,255.15,1020,58,1,Clear,01n,-2.217999999999982,1,2018-01-01 
4,1514779200,2018-01-01 04:00:00 ,4975802,253.73,252.15,255.15,1020,53,2,Clear,01n,-2.9559999999999818,1,2018-01-01 
5,1514782800,2018-01-01 05:00:00 ,4975802,253.53,252.15,254.15,1020,53,2,Clear,01n,-3.31599999999996,1,2018-01-01 
6,1514786400,2018-01-01 06:00:00 ,4975802,252.11,250.15,253.15,1020,58,2,Clear,01n,-5.871999999999936,1,2018-01-01 
7,1514790000,2018-01-01 07:00:00 ,4975802,249.04,242.15,252.15,1020,58,1,Clear,01n,-11.397999999999975,1,2018-01-01 
8,1514793600,2018-01-01 08:00:00 ,4975802,248.72,243.15,252.15,1020,58,2,Clear,01n,-11.973999999999961,1,2018-01-01 
9,1514797200,2018-01-01 09:00:00 ,4975802,250.1,249.15,252.15,1020,58,3,Clear,01n,-9.489999999999974,1,2018-01-01 
10,1514800800,2018-01-01 10:00:00 ,4975802,249.53,247.15,252.15,1020,69,3,Clear,01n,-10.515999999999956,1,2018-01-01 
11,1514804400,2018-01-01 11:00:00 ,4975802,249.51,247.15,251.15,1020,63,2,Clear,01n,-10.551999999999978,1,2018-01-01 
12,1514808000,2018-01-01 12:00:00 ,4975802,246.2,240.15,251.15,1021,63,1,Clear,01n,-16.509999999999984,1,2018-01-01 
13,1514811600,2018-01-01 13:00:00 ,4975802,244.84,239.15,251.15,1021,63,3,Clear,01d,-18.957999999999956,1,2018-01-01 
14,1514815200,2018-01-01 14:00:00 ,4975802,246.64,240.15,255.15,1021,49,2,Clear,01d,-15.717999999999982,1,2018-01-01 
15,1514818800,2018-01-01 15:00:00 ,4975802,251.72,245.15,257.15,1021,49,2,Clear,01d,-6.5739999999999625,1,2018-01-01 
16,1514822400,2018-01-01 16:00:00 ,4975802,255.58,250.15,259.15,1020,42,4,Clear,01d,0.3740000000000627,1,2018-01-01 
17,1514826000,2018-01-01 17:00:00 ,4975802,257.28,255.15,260.15,1020,42,5,Clear,01d,3.4339999999999904,1,2018-01-01 
18,1514829600,2018-01-01 18:00:00 ,4975802,258.9599844,258.15,259.15,1019,42,7,Clear,01d,6.457971920000034,1,2018-01-01 
19,1514833200,2018-01-01 19:00:00 ,4975802,259.65,258.15,261.15,1019,46,6,Clear,01d,7.699999999999999,1,2018-01-01 
20,1514836800,2018-01-01 20:00:00 ,4975802,259.8299844,259.15,261.15,1020,42,7,Clear,01d,8.02397192000004,1,2018-01-01 
21,1514840400,2018-01-01 21:00:00 ,4975802,259.5,258.15,260.15,1021,45,5,Clear,01d,7.430000000000039,1,2018-01-01 
22,1514844000,2018-01-01 22:00:00 ,4975802,258.16,257.15,259.15,1021,49,5,Clear,01n,5.018000000000086,1,2018-01-01 
23,1514847600,2018-01-01 23:00:00 ,4975802,256.7999844,256.15,258.15,1022,49,5,Clear,01n,2.5699719200000892,1,2018-01-01 
24,1514851200,2018-01-02 00:00:00 ,4975802,255.98,255.15,257.15,1022,54,3,Clear,01n,1.0940000000000225,1,2018-01-02 
25,1514854800,2018-01-02 01:00:00 ,4975802,255.47,254.15,256.15,1022,54,3,Clear,01n,0.17600000000003746,1,2018-01-02 
26,1514858400,2018-01-02 02:00:00 ,4975802,254.92,254.15,256.15,1022,54,3,Clear,01n,-0.8139999999999858,1,2018-01-02 
27,1514862000,2018-01-02 03:00:00 ,4975802,254.34,252.15,255.15,1022,59,2,Clear,01n,-1.8579999999999544,1,2018-01-02 
28,1514865600,2018-01-02 04:00:00 ,4975802,253.75,252.15,255.15,1022,59,3,Clear,01n,-2.919999999999959,1,2018-01-02 
29,1514869200,2018-01-02 05:00:00 ,4975802,251.4,245.15,255.15,1022,59,3,Clear,01n,-7.149999999999949,1,2018-01-02 
30,1514872800,2018-01-02 06:00:00 ,4975802,249.53,244.15,255.15,1021,59,3,Clear,01n,-10.515999999999956,1,2018-01-02 
31,1514876400,2018-01-02 07:00:00 ,4975802,248.68,244.15,255.15,1022,59,3,Clear,01n,-12.04599999999995,1,2018-01-02 
32,1514880000,2018-01-02 08:00:00 ,4975802,248.85,242.15,255.15,1022,59,3,Clear,01n,-11.739999999999974,1,2018-01-02 
33,1514883600,2018-01-02 09:00:00 ,4975802,249.19,241.15,255.15,1022,59,3,Clear,01n,-11.127999999999965,1,2018-01-02 
34,1514887200,2018-01-02 10:00:00 ,4975802,249.18,240.15,255.15,1022,59,3,Clear,01n,-11.145999999999951,1,2018-01-02 
35,1514890800,2018-01-02 11:00:00 ,4975802,249.55,241.15,254.15,1022,64,3,Clear,01n,-10.47999999999994,1,2018-01-02 
36,1514894400,2018-01-02 12:00:00 ,4975802,249.85,239.15,255.15,1022,59,4,Clear,01n,-9.93999999999997,1,2018-01-02 
37,1514898000,2018-01-02 13:00:00 ,4975802,249.86,239.15,255.15,1023,59,4,Clear,01d,-9.921999999999933,1,2018-01-02 
38,1514901600,2018-01-02 14:00:00 ,4975802,250.53,240.15,256.15,1023,54,2,Clear,01d,-8.715999999999958,1,2018-01-02 
39,1514905200,2018-01-02 15:00:00 ,4975802,253.57,244.15,258.15,1024,49,3,Clear,01d,-3.2439999999999714,1,2018-01-02 
40,1514908800,2018-01-02 16:00:00 ,4975802,257.9500156,256.15,259.15,1023,46,5,Clear,01d,4.64002807999999,1,2018-01-02 
41,1514912400,2018-01-02 17:00:00 ,4975802,258.78,255.15,261.15,1022,42,3,Clear,01d,6.13399999999999,1,2018-01-02 
42,1514916000,2018-01-02 18:00:00 ,4975802,260.47,259.15,262.15,1022,43,2,Clear,01d,9.17600000000009,1,2018-01-02 
43,1514919600,2018-01-02 19:00:00 ,4975802,261.15,260.15,262.15,1021,43,2,Clear,01d,10.399999999999999,1,2018-01-02 
44,1514923200,2018-01-02 20:00:00 ,4975802,262.15,261.15,263.15,1021,43,2,Clear,01d,12.2,1,2018-01-02 
45,1514926800,2018-01-02 21:00:00 ,4975802,261.66,261.15,262.15,1021,46,3,Clear,01d,11.318000000000087,1,2018-01-02 
46,1514930400,2018-01-02 22:00:00 ,4975802,261.14001559999997,260.15,262.15,1021,46,3,Clouds,02n,10.382028079999987,2,2018-01-02 
47,1514934000,2018-01-02 23:00:00 ,4975802,259.31,257.15,261.15,1021,55,5,Clear,01n,7.088000000000044,1,2018-01-02 
48,1514937600,2018-01-03 00:00:00 ,4975802,257.62,254.15,261.15,1021,65,1,Clear,01n,4.046000000000049,1,2018-01-03 
49,1514941200,2018-01-03 01:00:00 ,4975802,255.9,252.15,260.15,1021,65,5,Clear,01n,0.950000000000049,1,2018-01-03 
50,1514944800,2018-01-03 02:00:00 ,4975802,255.05,251.15,259.15,1021,65,6,Clear,01n,-0.5799999999999415,1,2018-01-03 
51,1514948400,2018-01-03 03:00:00 ,4975802,256.07,252.15,259.15,1021,71,6,Clear,01n,1.2560000000000286,1,2018-01-03 
52,1514952000,2018-01-03 04:00:00 ,4975802,256.2600156,252.15,260.15,1021,71,6,Clear,01n,1.5980280799999953,1,2018-01-03 
53,1514955600,2018-01-03 05:00:00 ,4975802,256.2000156,251.15,261.15,1021,66,1,Clear,01n,1.4900280799999912,1,2018-01-03 
54,1514959200,2018-01-03 06:00:00 ,4975802,257.0,252.15,261.15,1021,72,5,Clear,01n,2.930000000000039,1,2018-01-03 
55,1514962800,2018-01-03 07:00:00 ,4975802,256.43,251.15,260.15,1021,78,5,Clear,01n,1.9040000000000532,1,2018-01-03 
56,1514966400,2018-01-03 08:00:00 ,4975802,256.84,251.15,260.15,1022,77,4,Clear,01n,2.641999999999996,1,2018-01-03 
57,1514970000,2018-01-03 09:00:00 ,4975802,256.7999844,251.15,261.15,1022,72,1,Clear,01n,2.5699719200000892,1,2018-01-03 
58,1514973600,2018-01-03 10:00:00 ,4975802,257.0400156,251.15,262.15,1022,77,4,Clear,01n,3.0020280800000485,1,2018-01-03 
59,1514977200,2018-01-03 11:00:00 ,4975802,255.45,251.15,262.15,1022,84,4,Clear,01n,0.14000000000001833,1,2018-01-03 
60,1514980800,2018-01-03 12:00:00 ,4975802,255.44,251.15,261.15,1023,84,4,Clear,01n,0.12200000000003541,1,2018-01-03 
61,1514984400,2018-01-03 13:00:00 ,4975802,254.58,251.15,260.15,1024,84,4,Clear,01d,-1.425999999999938,1,2018-01-03 
62,1514988000,2018-01-03 14:00:00 ,4975802,255.6,251.15,260.15,1024,77,1,Haze,50d,0.41000000000002856,5,2018-01-03 
63,1514991600,2018-01-03 15:00:00 ,4975802,259.84,256.15,263.15,1024,72,2,Clear,01d,8.041999999999994,1,2018-01-03 
64,1514995200,2018-01-03 16:00:00 ,4975802,264.71,262.15,268.15,1023,53,2,Clear,01d,16.808000000000003,1,2018-01-03 
65,1514998800,2018-01-03 17:00:00 ,4975802,267.33,265.15,269.15,1023,49,1,Clear,01d,21.52400000000001,1,2018-01-03 
66,1515002400,2018-01-03 18:00:00 ,4975802,268.79,267.15,271.15,1022,45,2,Clear,01d,24.15200000000008,1,2018-01-03 
67,1515006000,2018-01-03 19:00:00 ,4975802,269.48,268.15,271.15,1021,49,3,Clear,01d,25.394000000000073,1,2018-01-03 
68,1515009600,2018-01-03 20:00:00 ,4975802,269.66,269.15,271.15,1021,49,2,Clear,01d,25.718000000000085,1,2018-01-03 
69,1515013200,2018-01-03 21:00:00 ,4975802,269.14,268.15,270.15,1021,49,2,Clear,01d,24.782000000000018,1,2018-01-03 
70,1515016800,2018-01-03 22:00:00 ,4975802,267.15,267.15,267.15,1021,53,3,Clear,01n,21.2,1,2018-01-03 
71,1515020400,2018-01-03 23:00:00 ,4975802,266.15,266.15,266.15,1021,57,2,Clear,01n,19.4,1,2018-01-03 
72,1515024000,2018-01-04 00:00:00 ,4975802,262.73,260.15,266.15,1021,57,2,Clear,01n,13.244000000000074,1,2018-01-04 
73,1515027600,2018-01-04 01:00:00 ,4975802,261.72,258.15,266.15,1021,61,2,Clear,01n,11.42600000000009,1,2018-01-04 
