Average Trip Duration (minutes),Amount of Users,Mode of User type
10.75,4,1
7.166666666666667,6,1
8.0,6,1
8.0,1,1
6.666666666666667,3,1
4.333333333333333,3,1
13.0,2,1
7.25,8,1
12.25,12,1
11.5,16,1
6.1,10,1
11.0625,16,1
9.928571428571429,14,1
9.583333333333334,12,1
9.538461538461538,13,1
5.888888888888889,9,1
9.571428571428571,7,1
5.142857142857143,7,1
7.875,8,1
9.0,7,1
25.285714285714285,7,1
6.5,2,1
89.0,1,1
12.0,1,1
58.0,1,1
11.0,1,1
12.666666666666666,6,1
9.85,20,1
10.2,55,1
10.885416666666666,96,1
8.816326530612244,49,1
10.818181818181818,22,1
10.19047619047619,21,1
11.857142857142858,28,1
9.030303030303031,33,1
9.846153846153847,26,1
9.486486486486486,37,1
10.884057971014492,69,1
9.848214285714286,112,1
8.26388888888889,72,1
10.076923076923077,39,1
7.454545454545454,22,1
37.526315789473685,19,1
10.214285714285714,14,1
8.11111111111111,9,1
4.666666666666667,3,1
13.0,1,1
17.0,2,1
8.0,1,1
11.636363636363637,11,1
9.8,30,1
11.593023255813954,86,1
11.527272727272727,165,1
10.08695652173913,92,1
10.608695652173912,46,1
12.21875,32,1
15.764705882352942,51,1
11.690909090909091,55,1
12.673469387755102,49,1
11.089285714285714,56,1
44.08955223880597,134,1
12.989304812834225,187,1
22.725,120,1
10.666666666666666,72,1
12.428571428571429,42,1
8.304347826086957,23,1
10.869565217391305,23,1
16.333333333333332,15,1
5.0,5,1
47.0,2,1
12.0,4,1
22.0,1,1
26.0,1,1
13.875,8,1
10.25,12,1
307.53333333333336,15,1
14.818181818181818,11,1
17.09090909090909,11,1
19.857142857142858,7,1
16.75,4,1
17.5,4,1
7.0,1,1
18.333333333333332,3,1
6.0,1,1
8.0,1,1
10.0,2,1
9.375,8,1
79.44444444444444,9,1
13.833333333333334,6,1
13.0,7,1
12.153846153846153,13,1
17.0,4,1
13.071428571428571,14,1
115.64285714285714,14,1
12.533333333333333,15,1
11.941176470588236,17,1
13.222222222222221,9,1
11.833333333333334,6,1
11.333333333333334,3,1
12.857142857142858,7,1
13.571428571428571,7,1
15.5,2,1
11.5,4,1
10.0,1,1
63.0,1,1
15.0,1,1
7.0,1,1
11.75,4,1
11.777777777777779,9,1
11.76923076923077,13,1
12.4,10,1
16.526315789473685,19,1
10.818181818181818,11,1
12.38888888888889,18,1
9.916666666666666,12,1
12.31578947368421,19,1
20.166666666666668,12,1
10.25,12,1
16.77777777777778,9,1
12.0,8,1
9.125,8,1
8.375,8,1
25.0,3,1
60.0,1,1
66.0,1,1
12.0,2,1
11.5,2,1
7.428571428571429,7,1
11.444444444444445,18,1
13.275862068965518,58,1
16.36413043478261,184,1
13.185185185185185,81,1
17.232558139534884,43,1
9.9375,32,1
10.279069767441861,43,1
8.580645161290322,31,1
10.5,42,1
10.317073170731707,41,1
11.465909090909092,88,1
11.838461538461539,130,1
12.382716049382717,81,1
11.661764705882353,68,1
12.0,46,1
10.125,32,1
8.952380952380953,21,1
9.636363636363637,11,1
9.4,5,1
13.5,4,1
21.5,2,1
14.0,3,1
9.636363636363637,11,1
9.666666666666666,30,1
11.795918367346939,98,1
12.507936507936508,189,1
11.443548387096774,124,1
10.575757575757576,33,1
44.183673469387756,49,1
9.4,60,1
8.926829268292684,41,1
14.363636363636363,55,1
63.41935483870968,62,1
12.27007299270073,137,1
14.36723163841808,177,1
12.179310344827586,145,1
11.954022988505747,87,1
11.134615384615385,52,1
34.43478260869565,23,1
85.35,20,1
12.1,10,1
14.222222222222221,9,1
19.75,4,1
29.0,2,1
88.0,1,1
15.333333333333334,3,1
10.642857142857142,14,1
12.41304347826087,46,1
12.237623762376238,101,1
11.808219178082192,219,1
11.779411764705882,136,1
12.078125,64,1
12.42,50,1
11.146666666666667,75,1
9.701754385964913,57,1
12.303571428571429,56,1
17.636363636363637,77,1
12.22689075630252,119,1
11.783549783549784,231,1
13.26027397260274,146,1
10.977777777777778,90,1
12.132075471698114,53,1
9.627450980392156,51,1
10.458333333333334,24,1
10.1875,16,1
9.4,5,1
18.75,4,1
4.0,1,1
15.5,2,1
10.307692307692308,13,1
11.155555555555555,45,1
11.898550724637682,138,1
13.014869888475836,269,1
11.476744186046512,172,1
11.013698630136986,73,1
10.54054054054054,74,1
10.328947368421053,76,1
10.894736842105264,76,1
15.015151515151516,66,1
12.080459770114942,87,1
13.353333333333333,150,1
13.06787330316742,221,1
13.19111111111111,225,1
18.367924528301888,106,1
12.91566265060241,83,1
9.340425531914894,47,1
11.909090909090908,44,1
12.5,16,1
8.166666666666666,12,1
18.25,4,1
22.0,2,1
10.0,11,1
10.25531914893617,47,1
12.264285714285714,140,1
12.095541401273886,314,1
10.835365853658537,164,1
15.329113924050633,79,1
11.566666666666666,90,1
9.861538461538462,65,1
8.805555555555555,36,1
9.6,40,1
10.924242424242424,66,1
13.473684210526315,152,1
12.033333333333333,150,1
10.383333333333333,60,1
9.236842105263158,38,1
10.846153846153847,39,1
17.0,18,1
11.533333333333333,15,1
7.555555555555555,9,1
7.25,8,1
8.714285714285714,7,1
9.0,2,1
48.666666666666664,3,2
7.75,4,1
9.692307692307692,13,1
11.289473684210526,38,1
16.96923076923077,65,1
10.423076923076923,52,1
18.33823529411765,68,1
11.25,72,1
14.536842105263158,95,1
10.985714285714286,70,1
12.692307692307692,65,1
10.0,57,1
11.094594594594595,74,1
10.19047619047619,63,1
9.645833333333334,48,1
7.925925925925926,27,1
9.076923076923077,13,1
9.11111111111111,18,1
7.956521739130435,23,1
10.1,10,1
16.416666666666668,12,1
14.8,5,1
19.0,4,1
58.0,1,1
36.75,4,[1 2]
7.0,2,1
16.25,4,1
12.172413793103448,29,1
10.241379310344827,29,1
10.021739130434783,46,1
12.6875,48,1
17.21818181818182,55,1
15.934426229508198,61,1
11.789473684210526,38,1
12.069767441860465,43,1
19.585365853658537,41,1
19.782608695652176,46,1
9.325,40,1
8.0,25,1
8.041666666666666,24,1
7.407407407407407,27,1
14.333333333333334,15,1
6.222222222222222,9,1
5.333333333333333,6,1
9.0,3,1
7.666666666666667,3,1
3.0,1,1
9.636363636363637,11,1
9.212121212121213,33,1
10.673469387755102,49,1
10.375,48,1
10.930232558139535,43,1
8.761904761904763,42,1
10.657894736842104,38,1
9.107142857142858,28,1
7.583333333333333,36,1
10.204545454545455,44,1
11.840909090909092,44,1
8.952380952380953,63,1
10.23611111111111,72,1
9.553571428571429,56,1
10.45,40,1
11.708333333333334,24,1
15.2,15,1
10.5625,16,1
10.75,8,1
3.0,1,1
13.0,3,1
8.923076923076923,13,1
10.755102040816327,49,1
11.23134328358209,134,1
11.768339768339768,259,1
14.854014598540147,137,1
11.301369863013699,73,1
13.50909090909091,55,1
9.493333333333334,75,1
10.545454545454545,55,1
9.5,60,1
10.731707317073171,82,1
11.531791907514451,173,1
17.03956834532374,278,1
10.6875,208,1
10.913385826771654,127,1
10.579710144927537,69,1
11.882352941176471,34,1
16.035714285714285,28,1
9.333333333333334,15,1
6.222222222222222,9,1
9.333333333333334,3,1
14.0,1,1
21.0,1,1
12.25,4,1
10.857142857142858,14,1
9.24,25,1
13.087719298245615,57,1
10.833333333333334,90,1
11.027777777777779,72,1
9.285714285714286,28,1
22.357142857142858,28,1
9.472222222222221,36,1
8.208333333333334,24,1
7.482758620689655,29,1
11.909090909090908,55,1
9.989010989010989,91,1
11.135483870967741,155,1
10.708661417322835,127,1
23.542168674698797,83,1
9.98360655737705,61,1
9.947368421052632,38,1
12.4,25,1
10.5,16,1
18.22222222222222,9,1
21.0,5,1
55.5,2,1
30.666666666666668,3,1
20.333333333333332,3,1
8.666666666666666,12,1
10.235294117647058,34,1
11.699115044247788,113,1
10.784860557768924,251,1
10.63448275862069,145,1
10.325301204819278,83,1
11.218181818181819,55,1
10.902912621359222,103,1
9.216666666666667,60,1
11.872727272727273,55,1
9.128205128205128,78,1
10.532934131736527,167,1
11.68235294117647,255,1
11.288135593220339,177,1
