dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514764800,2018-01-01 00:00:00 +0000 UTC,4975802,,,,255.62,253.15,257.15,1019,,,59,5,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514768400,2018-01-01 01:00:00 +0000 UTC,4975802,,,,254.26,250.15,256.15,1019,,,54,3,310,,,,,,,,,1,800,Clear,sky is clear,01n
1514772000,2018-01-01 02:00:00 +0000 UTC,4975802,,,,255.14,254.15,256.15,1020,,,59,3,0,,,,,,,,,1,800,Clear,sky is clear,01n
1514775600,2018-01-01 03:00:00 +0000 UTC,4975802,,,,254.14,253.15,255.15,1020,,,58,1,0,,,,,,,,,1,800,Clear,sky is clear,01n
1514779200,2018-01-01 04:00:00 +0000 UTC,4975802,,,,253.73,252.15,255.15,1020,,,53,2,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514782800,2018-01-01 05:00:00 +0000 UTC,4975802,,,,253.53,252.15,254.15,1020,,,53,2,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514786400,2018-01-01 06:00:00 +0000 UTC,4975802,,,,252.11,250.15,253.15,1020,,,58,2,0,,,,,,,,,1,800,Clear,sky is clear,01n
1514790000,2018-01-01 07:00:00 +0000 UTC,4975802,,,,249.04,242.15,252.15,1020,,,58,1,0,,,,,,,,,1,800,Clear,sky is clear,01n
1514793600,2018-01-01 08:00:00 +0000 UTC,4975802,,,,248.72,243.15,252.15,1020,,,58,2,0,,,,,,,,,1,800,Clear,sky is clear,01n
1514797200,2018-01-01 09:00:00 +0000 UTC,4975802,,,,250.1,249.15,252.15,1020,,,58,3,309,,,,,,,,,1,800,Clear,sky is clear,01n
1514800800,2018-01-01 10:00:00 +0000 UTC,4975802,,,,249.53,247.15,252.15,1020,,,69,3,309,,,,,,,,,1,800,Clear,sky is clear,01n
1514804400,2018-01-01 11:00:00 +0000 UTC,4975802,,,,249.51,247.15,251.15,1020,,,63,2,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514808000,2018-01-01 12:00:00 +0000 UTC,4975802,,,,246.2,240.15,251.15,1021,,,63,1,250,,,,,,,,,1,800,Clear,sky is clear,01n
